Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_01005_0402Metric",102.200000,-79.800002,90.000000,top
"C2","1u","C_01005_0402Metric",102.200000,-81.099998,90.000000,top
"C3","100n","C_01005_0402Metric",117.200000,-79.800002,90.000000,top
"C4","1u","C_01005_0402Metric",117.200000,-81.099998,90.000000,top
"C5","100n","C_01005_0402Metric",132.200000,-79.800002,90.000000,top
"C6","1u","C_01005_0402Metric",132.200000,-81.099998,90.000000,top
"C7","100n","C_01005_0402Metric",145.199998,-82.200000,0.000000,top
"C8","1u","C_01005_0402Metric",143.900003,-82.200000,0.000000,top
"C9","100n","C_01005_0402Metric",99.800002,-92.800000,180.000000,top
"C10","1u","C_01005_0402Metric",101.099997,-92.800000,180.000000,top
"C11","100n","C_01005_0402Metric",114.800002,-92.800000,180.000000,top
"C12","1u","C_01005_0402Metric",116.099997,-92.800000,180.000000,top
"C13","100n","C_01005_0402Metric",132.200000,-94.800002,90.000000,top
"C14","1u","C_01005_0402Metric",132.200000,-96.099998,90.000000,top
"C15","100n","C_01005_0402Metric",145.199998,-97.200000,0.000000,top
"C16","1u","C_01005_0402Metric",143.900003,-97.200000,0.000000,top
"C17","100n","C_01005_0402Metric",99.800002,-107.800000,180.000000,top
"C18","1u","C_01005_0402Metric",101.099997,-107.800000,180.000000,top
"C19","100n","C_01005_0402Metric",112.800000,-110.199998,-90.000000,top
"C20","1u","C_01005_0402Metric",112.800000,-108.900003,-90.000000,top
"C21","100n","C_01005_0402Metric",130.199998,-112.200000,0.000000,top
"C22","1u","C_01005_0402Metric",128.900003,-112.200000,0.000000,top
"C23","100n","C_01005_0402Metric",145.199998,-112.200000,0.000000,top
"C24","1u","C_01005_0402Metric",143.900003,-112.200000,0.000000,top
"C25","100n","C_01005_0402Metric",99.800002,-122.800000,180.000000,top
"C26","1u","C_01005_0402Metric",101.099997,-122.800000,180.000000,top
"C27","100n","C_01005_0402Metric",112.800000,-125.199998,-90.000000,top
"C28","1u","C_01005_0402Metric",112.800000,-123.900003,-90.000000,top
"C29","100n","C_01005_0402Metric",127.800000,-125.199998,-90.000000,top
"C30","1u","C_01005_0402Metric",127.800000,-123.900003,-90.000000,top
"C31","100n","C_01005_0402Metric",142.800000,-125.199998,-90.000000,top
"C32","1u","C_01005_0402Metric",142.800000,-123.900003,-90.000000,top
"J1","Conn_01x08_Socket","PinSocket_1x08_P1.27mm_Vertical",104.450000,-60.025000,-90.000000,top
"J2","Conn_01x08_Socket","PinSocket_1x08_P1.27mm_Vertical",119.450000,-60.025000,-90.000000,top
"J3","Conn_01x08_Socket","PinSocket_1x08_P1.27mm_Vertical",134.450000,-60.025000,-90.000000,top
"J4","Conn_01x08_Socket","PinSocket_1x08_P1.27mm_Vertical",164.975000,-84.449999,180.000000,top
"J5","Conn_01x08_Socket","PinSocket_1x08_P1.27mm_Vertical",80.025000,-90.550001,0.000000,top
"J6","Conn_01x08_Socket","PinSocket_1x08_P1.27mm_Vertical",80.025000,-75.549999,0.000000,top
"J7","Conn_01x08_Socket","PinSocket_1x08_P1.27mm_Vertical",149.450000,-60.025000,-90.000000,top
"J8","Conn_01x08_Socket","PinSocket_1x08_P1.27mm_Vertical",164.975000,-99.449999,180.000000,top
"J9","Conn_01x08_Socket","PinSocket_1x08_P1.27mm_Vertical",80.025000,-105.550001,0.000000,top
"J10","Conn_01x09_Socket","PinHeader_1x08_P2.54mm_Vertical",127.580000,-51.500000,90.000000,top
"J11","Conn_01x03_Socket","PinHeader_1x03_P2.54mm_Vertical",119.960000,-51.500000,90.000000,top
"J12","Conn_01x02_Socket","PinHeader_1x02_P2.54mm_Vertical",122.500000,-48.960000,90.000000,top
"J13","Conn_01x08_Socket","PinSocket_1x08_P1.27mm_Vertical",95.550000,-144.975000,90.000000,top
"J14","Conn_01x08_Socket","PinSocket_1x08_P1.27mm_Vertical",164.975000,-129.450001,180.000000,top
"J15","Conn_01x08_Socket","PinSocket_1x08_P1.27mm_Vertical",164.975000,-114.449999,180.000000,top
"J16","Conn_01x08_Socket","PinSocket_1x08_P1.27mm_Vertical",80.025000,-120.550001,0.000000,top
"J17","Conn_01x08_Socket","PinSocket_1x08_P1.27mm_Vertical",110.550001,-144.975000,90.000000,top
"J18","Conn_01x08_Socket","PinSocket_1x08_P1.27mm_Vertical",125.550001,-144.975000,90.000000,top
"J19","Conn_01x08_Socket","PinSocket_1x08_P1.27mm_Vertical",140.550001,-144.975000,90.000000,top
"J20","Conn_01x09_Socket","PinHeader_1x08_P2.54mm_Vertical",99.640000,-51.500000,90.000000,top
"U1","LIS3DH","LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y",100.000000,-80.000000,180.000000,top
"U2","LIS3DH","LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y",115.000000,-80.000000,180.000000,top
"U3","LIS3DH","LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y",130.000000,-80.000000,180.000000,top
"U4","LIS3DH","LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y",145.000000,-80.000000,90.000000,top
"U5","LIS3DH","LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y",100.000000,-95.000000,-90.000000,top
"U6","LIS3DH","LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y",115.000000,-95.000000,-90.000000,top
"U7","LIS3DH","LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y",130.000000,-95.000000,180.000000,top
"U8","LIS3DH","LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y",145.000000,-95.000000,90.000000,top
"U9","LIS3DH","LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y",100.000000,-110.000000,-90.000000,top
"U10","LIS3DH","LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y",115.000000,-110.000000,0.000000,top
"U11","LIS3DH","LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y",130.000000,-110.000000,90.000000,top
"U12","LIS3DH","LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y",145.000000,-110.000000,90.000000,top
"U13","LIS3DH","LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y",100.000000,-125.000000,-90.000000,top
"U14","LIS3DH","LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y",115.000000,-125.000000,0.000000,top
"U15","LIS3DH","LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y",130.000000,-125.000000,0.000000,top
"U16","LIS3DH","LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y",145.000000,-125.000000,0.000000,top
